Technique,Count
HTML Obfuscation,228
Plain Text,128
Base64/Encoding,67
Urgency Triggers,52
IP-Based Links,26
URL Shorteners,0
Image-Based Spam,0
CSS Hiding,0
Scripting/ActiveX,0
